season,week,franchise_name,elo_sheet,elo_shadow,absolute_difference,within_tolerance
2026,0,Arizona Cardinals,1497.0344410308642,1497.034441,3.0864157452015206e-08,True
2026,0,Atlanta Falcons,1503.906780348844,1503.90678,3.488439688226208e-07,True
2026,0,Baltimore Ravens,1461.4066208815661,1461.406621,1.1843394531751983e-07,True
2026,0,Buffalo Bills,1473.020962791241,1473.020963,2.0875904738204554e-07,True
2026,0,Carolina Panthers,1519.464892588195,1519.464893,4.118051037949044e-07,True
2026,0,Chicago Bears,1505.4129347810967,1505.412935,2.1890332391194534e-07,True
2026,0,Cincinnati Bengals,1518.894959049645,1518.894959,4.964499566995073e-08,True
2026,0,Cleveland Browns,1502.3339652190398,1502.333965,2.1903974811721127e-07,True
2026,0,Dallas Cowboys,1484.860733221371,1484.860733,2.2137101041153073e-07,True
2026,0,Denver Broncos,1550.3821207437893,1550.382121,2.5621079657867085e-07,True
2026,0,Detroit Lions,1501.0096327525446,1501.009633,2.474553184583783e-07,True
2026,0,Green Bay Packers,1471.4737342221533,1471.473734,2.221534032287309e-07,True
2026,0,Houston Texans,1508.0589618360852,1508.058962,1.639148194954032e-07,True
2026,0,Indianapolis Colts,1509.7727696272423,1509.77277,3.727577677636873e-07,True
2026,0,Jacksonville Jaguars,1526.8721196503946,1526.87212,3.496054432616802e-07,True
2026,0,Kansas City Chiefs,1491.1124040331672,1491.112404,3.3167225410579704e-08,True
2026,0,Las Vegas Raiders,1506.6476127980202,1506.647613,2.0197990124870557e-07,True
2026,0,Los Angeles Chargers,1477.7963845327786,1477.796385,4.672215254686307e-07,True
2026,0,Los Angeles Rams,1502.4723978084858,1502.472398,1.915143457154045e-07,True
2026,0,Miami Dolphins,1517.6382532248906,1517.638253,2.2489052753371652e-07,True
2026,0,Minnesota Vikings,1526.232230817645,1526.232231,1.8235505194752477e-07,True
2026,0,New England Patriots,1484.1980817559024,1484.198082,2.440976913931081e-07,True
2026,0,New Orleans Saints,1479.7230025924414,1479.723003,4.075586730323266e-07,True
2026,0,New York Giants,1502.0086922733105,1502.008692,2.733104338403791e-07,True
2026,0,New York Jets,1489.5383986413435,1489.538399,3.5865650716004893e-07,True
2026,0,Philadelphia Eagles,1508.2777225509417,1508.277723,4.49058234153199e-07,True
2026,0,Pittsburgh Steelers,1458.2820571356658,1458.282057,1.3566591405833606e-07,True
2026,0,San Francisco 49ers,1484.0591919388207,1484.059192,6.117920747783501e-08,True
2026,0,Seattle Seahawks,1480.6178594547755,1480.617859,4.547755452222191e-07,True
2026,0,Tampa Bay Buccaneers,1500.1958006189138,1500.195801,3.8108623812149744e-07,True
2026,0,Tennessee Titans,1488.5448669455661,1488.544867,5.4433940022136085e-08,True
2026,0,Washington Commanders,1568.7494141332538,1568.749414,1.3325393410923425e-07,True
2026,1,Arizona Cardinals,1487.2973711253871,1487.29737110304,2.234719431726262e-08,True
2026,1,Atlanta Falcons,1489.96816609607,1489.9681657813976,3.1467243388760835e-07,True
2026,1,Baltimore Ravens,1452.8064231980763,1452.8064233128202,1.1474389793875162e-07,True
2026,1,Buffalo Bills,1494.3153950913752,1494.3153952947011,2.033259534073295e-07,True
2026,1,Carolina Panthers,1529.6413751400198,1529.6413755274257,3.8740586205676664e-07,True
2026,1,Chicago Bears,1489.5341587672287,1489.5341589726977,2.0546895029838197e-07,True
2026,1,Cincinnati Bengals,1492.821566870776,1492.82156682806,4.271601028449368e-08,True
2026,1,Cleveland Browns,1515.7490802766968,1515.749080086275,1.9042181520489976e-07,True
2026,1,Dallas Cowboys,1514.2478874995077,1514.2478873099508,1.895568857435137e-07,True
2026,1,Denver Broncos,1539.8646361102337,1539.8646363512405,2.410067736491328e-07,True
2026,1,Detroit Lions,1501.8309385192981,1501.83093875414,2.3484199118684046e-07,True
2026,1,Green Bay Packers,1465.673243516336,1465.6732433191798,1.971561687241774e-07,True
2026,1,Houston Texans,1510.1086721188963,1510.1086722773928,1.58496504809591e-07,True
2026,1,Indianapolis Colts,1518.9393996822496,1518.9394000335924,3.5134280551574193e-07,True
2026,1,Jacksonville Jaguars,1532.8052730740096,1532.8052734036266,3.2961702345346566e-07,True
2026,1,Kansas City Chiefs,1496.3868216097742,1496.3868215881837,2.1590494725387543e-08,True
2026,1,Las Vegas Raiders,1530.5930013187674,1530.5930015163592,1.9759181668632664e-07,True
2026,1,Los Angeles Chargers,1500.5102593628524,1500.5102598034775,4.40625171904685e-07,True
2026,1,Los Angeles Rams,1475.9491237843743,1475.9491239626875,1.7831325749284588e-07,True
2026,1,Miami Dolphins,1533.410872196798,1533.410872001409,1.953890205186326e-07,True
2026,1,Minnesota Vikings,1503.1805973193786,1503.1805974900194,1.7064076018868946e-07,True
2026,1,New England Patriots,1482.7876871295996,1482.7876873609475,2.313479399163043e-07,True
2026,1,New Orleans Saints,1504.0920056861462,1504.0920060723547,3.862085122818826e-07,True
2026,1,New York Giants,1484.5982903348158,1484.5982900887284,2.4608743842691183e-07,True
2026,1,New York Jets,1485.8694024093895,1485.869402745329,3.359393758728402e-07,True
2026,1,Philadelphia Eagles,1523.0132441874298,1523.0132446097894,4.223595624353038e-07,True
2026,1,Pittsburgh Steelers,1442.6790407629574,1442.6790406431076,1.1984980119450483e-07,True
2026,1,San Francisco 49ers,1484.4751886485517,1484.475188712521,6.396930984919891e-08,True
2026,1,Seattle Seahawks,1454.0966206372177,1454.0966202228644,4.1435328057559673e-07,True
2026,1,Tampa Bay Buccaneers,1506.529398492303,1506.5293988507126,3.584095793485176e-07,True
2026,1,Tennessee Titans,1466.8098854181521,1466.8098854716957,5.354354470910039e-08,True
2026,1,Washington Commanders,1589.4149736153256,1589.4149735042745,1.1105112207587808e-07,True
2026,2,Arizona Cardinals,1474.280474489421,1474.280474480944,8.477172741550021e-09,True
2026,2,Atlanta Falcons,1513.6613864556575,1513.661386190792,2.6486554816074204e-07,True
2026,2,Baltimore Ravens,1457.1550631862153,1457.1550632984618,1.1224642548768315e-07,True
2026,2,Buffalo Bills,1496.321292713468,1496.3212929036467,1.9017875274585094e-07,True
2026,2,Carolina Panthers,1514.156179909213,1514.156180261294,3.5208086046623066e-07,True
2026,2,Chicago Bears,1526.5058767494866,1526.505876942096,1.926093773363391e-07,True
2026,2,Cincinnati Bengals,1471.2012665863008,1471.2012665598131,2.6487668947083876e-08,True
2026,2,Cleveland Browns,1509.872885342822,1509.8728851867631,1.560588316351641e-07,True
