pointsTotal,franchise_id,name,logo,seed,clinch,qual,record,apPct,ppg,pot,off,deff,wins,predPct,finish,playoffSeed,odds,div,bye,playoffProbability,divisionProbability,byeProbability,projectedPotentialPoints
269.8,0004,Washington Commanders,https://a.espncdn.com/i/teamlogos/nfl/500/wsh.png,1,,y,1-0,1.0,269.8,305.4,163.3,106.5,11.821833333333334,65.45116487455196,1,1,89%,54%,41%,0.8943333333333333,0.5376666666666666,0.41333333333333333,3050.4267268000444
262.1,0001,Dallas Cowboys,https://a.espncdn.com/i/teamlogos/nfl/500/dal.png,2,,x,1-0,0.9354838709677419,262.1,320.0,142.70000000000002,119.4,8.945666666666666,52.01926523297491,8,NA,47%,11%,3%,0.4653333333333333,0.11166666666666666,0.026333333333333334,2853.216482898606
234.9,0010,Carolina Panthers,https://a.espncdn.com/i/teamlogos/nfl/500/car.png,3,,y,1-0,0.8064516129032258,234.9,253.6,138.5,96.4,9.727333333333334,53.21621863799283,4,4,59%,32%,4%,0.5946666666666667,0.317,0.039,2821.3636397705236
224.8,0011,New Orleans Saints,https://a.espncdn.com/i/teamlogos/nfl/500/no.png,4,,x,1-0,0.7096774193548387,224.8,316.9,140.5,84.3,10.809833333333334,58.16290322580645,3,3,76%,52%,10%,0.764,0.515,0.10433333333333333,2982.332625431608
219.9,0006,Detroit Lions,https://a.espncdn.com/i/teamlogos/nfl/500/det.png,5,,y,1-0,0.6451612903225806,219.9,247.7,99.10000000000001,120.8,8.9905,50.639605734767024,5,5,50%,34%,2%,0.499,0.3446666666666667,0.020666666666666667,2817.663727066854
189.9,0015,San Francisco 49ers,https://a.espncdn.com/i/teamlogos/nfl/500/sf.png,6,,y,1-0,0.41935483870967744,189.9,265.3,85.4,104.5,9.377833333333333,50.3089605734767,6,6,58%,46%,2%,0.577,0.456,0.015666666666666666,2845.748913024853
184.8,0013,Arizona Cardinals,https://a.espncdn.com/i/teamlogos/nfl/500/ari.png,7,,x,1-0,0.3225806451612903,184.8,223.0,60.400000000000006,124.4,9.2135,49.39444444444444,7,7,55%,44%,1%,0.5526666666666666,0.44166666666666665,0.013,2772.935309865601
236.0,0003,Philadelphia Eagles,https://a.espncdn.com/i/teamlogos/nfl/500/phi.png,8,,,0-1,0.8387096774193549,236.0,258.2,161.2,74.8,10.903,64.1320788530466,2,2,81%,33%,31%,0.8076666666666666,0.32866666666666666,0.31066666666666665,2994.1161846601035
209.3,0012,Tampa Bay Buccaneers,https://a.espncdn.com/i/teamlogos/nfl/500/tb.png,9,,,0-1,0.532258064516129,209.3,260.5,74.4,134.9,7.738666666666667,50.19560931899642,9,NA,31%,12%,2%,0.31233333333333335,0.117,0.019666666666666666,2819.1257277199893
191.5,0009,Atlanta Falcons,https://a.espncdn.com/i/teamlogos/nfl/500/atl.png,10,,,0-1,0.45161290322580644,191.5,214.9,129.8,61.7,6.4985,44.28978494623656,13,NA,15%,5%,0%,0.15466666666666667,0.051,0.004333333333333333,2704.9082982910672
186.0,0007,Green Bay Packers,https://a.espncdn.com/i/teamlogos/nfl/500/gb.png,11,,,0-1,0.3709677419354839,186.0,234.3,90.10000000000001,95.89999999999999,7.535833333333334,48.016397849462365,11,NA,29%,16%,1%,0.29,0.161,0.010666666666666666,2760.4375362574788
174.4,0005,Chicago Bears,https://a.espncdn.com/i/teamlogos/nfl/500/chi.png,12,,,1-0,0.22580645161290322,174.4,226.2,84.80000000000001,89.6,8.4335,46.646953405017925,12,NA,38%,25%,1%,0.379,0.24633333333333332,0.005333333333333333,2773.656745893242
171.6,0002,New York Giants,https://a.espncdn.com/i/teamlogos/nfl/500/nyg.png,13,,,0-1,0.1935483870967742,171.6,222.7,72.19999999999999,99.4,6.587833333333333,43.97759856630824,14,NA,15%,2%,0%,0.14566666666666667,0.022,0.0033333333333333335,2727.240980264105
142.4,0014,Los Angeles Rams,https://a.espncdn.com/i/teamlogos/nfl/500/lar.png,14,,,0-1,0.0967741935483871,142.4,179.1,63.2,79.2,5.431166666666667,37.38010752688172,16,NA,7%,4%,0%,0.069,0.04066666666666666,0.0003333333333333333,2575.0081800655553
138.0,0008,Minnesota Vikings,https://a.espncdn.com/i/teamlogos/nfl/500/min.png,15,,,0-1,0.04838709677419355,138.0,204.7,72.1,65.9,8.363833333333334,49.68736559139785,10,NA,40%,25%,1%,0.39866666666666667,0.248,0.013,2810.777216698704
119.7,0016,Seattle Seahawks,https://a.espncdn.com/i/teamlogos/nfl/500/sea.png,16,,,0-1,0.0,119.7,173.0,32.3,87.4,5.818833333333333,38.788261648745525,15,NA,10%,6%,0%,0.096,0.06166666666666667,0.0003333333333333333,2611.99801485935
268.1,0031,Las Vegas Raiders,https://a.espncdn.com/i/teamlogos/nfl/500/lv.png,1,,y,1-0,0.967741935483871,268.1,283.2,101.20000000000002,166.9,10.469833333333334,56.581810035842295,3,3,73%,46%,16%,0.7313333333333333,0.455,0.164,2887.088536154203
252.1,0018,Miami Dolphins,https://a.espncdn.com/i/teamlogos/nfl/500/mia.png,2,,y,1-0,0.9032258064516129,252.1,268.3,133.3,118.8,9.1425,52.291756272401436,5,5,54%,36%,7%,0.5396666666666666,0.3576666666666667,0.07066666666666667,2813.1558699988805
242.5,0017,Buffalo Bills,https://a.espncdn.com/i/teamlogos/nfl/500/buf.png,3,,x,1-0,0.8709677419354839,242.5,286.4,137.4,105.1,9.274,51.20698924731183,6,6,55%,36%,4%,0.55,0.36233333333333334,0.045,2811.27586615208
230.4,0023,Cleveland Browns,https://a.espncdn.com/i/teamlogos/nfl/500/cle.png,4,,y,1-0,0.7741935483870968,230.4,259.0,131.60000000000002,98.8,11.2195,59.551971326164875,1,1,83%,65%,26%,0.8256666666666667,0.653,0.258,2938.8150403911673
229.4,0032,Los Angeles Chargers,https://a.espncdn.com/i/teamlogos/nfl/500/lac.png,5,,x,1-0,0.7419354838709677,229.4,298.6,94.5,134.9,8.5345,49.45492831541218,9,NA,41%,19%,3%,0.413,0.188,0.034333333333333334,2811.972482728982
222.0,0026,Indianapolis Colts,https://a.espncdn.com/i/teamlogos/nfl/500/ind.png,6,,y,1-0,0.6774193548387096,222.0,252.2,116.4,105.6,9.657,52.93440860215054,4,4,60%,38%,7%,0.6036666666666667,0.37866666666666665,0.07466666666666667,2843.982205645699
219.4,0025,Houston Texans,https://a.espncdn.com/i/teamlogos/nfl/500/hou.png,7,,x,1-0,0.5806451612903226,219.4,257.6,175.9,43.5,8.544333333333332,48.3486559139785,7,7,42%,23%,3%,0.423,0.231,0.034666666666666665,2776.5727233995067
219.6,0030,Kansas City Chiefs,https://a.espncdn.com/i/teamlogos/nfl/500/kc.png,8,,,0-1,0.6129032258064516,219.6,254.2,129.5,90.1,9.817,56.76263440860215,2,2,65%,33%,15%,0.651,0.3323333333333333,0.15266666666666667,2913.524044106572
209.3,0019,New England Patriots,https://a.espncdn.com/i/teamlogos/nfl/500/ne.png,9,,,0-1,0.532258064516129,209.3,229.7,112.4,96.9,6.243333333333333,43.32956989247312,15,NA,15%,7%,1%,0.15366666666666667,0.07266666666666667,0.005666666666666667,2678.257724121822
205.4,0027,Jacksonville Jaguars,https://a.espncdn.com/i/teamlogos/nfl/500/jax.png,10,,,0-1,0.4838709677419355,205.4,269.0,111.30000000000001,94.1,8.421333333333333,51.06487455197133,8,NA,43%,21%,6%,0.43033333333333335,0.21433333333333332,0.056666666666666664,2845.614690312947
186.0,0029,Denver Broncos,https://a.espncdn.com/i/teamlogos/nfl/500/den.png,11,,,0-1,0.3709677419354839,186.0,237.9,103.9,82.1,5.342666666666666,39.452240143369174,16,NA,7%,2%,0%,0.07033333333333333,0.024666666666666667,0.0013333333333333333,2629.405475820751
179.2,0020,New York Jets,https://a.espncdn.com/i/teamlogos/nfl/500/nyj.png,12,,,0-1,0.2903225806451613,179.2,246.8,78.1,101.1,8.098166666666666,48.63225806451613,11,NA,36%,21%,3%,0.361,0.20733333333333334,0.026,2816.3167188826965
177.4,0021,Baltimore Ravens,https://a.espncdn.com/i/teamlogos/nfl/500/bal.png,13,,,1-0,0.25806451612903225,177.4,223.9,48.400000000000006,129.0,8.344,47.299283154121866,12,NA,38%,18%,2%,0.38066666666666665,0.17666666666666667,0.018666666666666668,2768.7270873211114
149.0,0028,Tennessee Titans,https://a.espncdn.com/i/teamlogos/nfl/500/ten.png,14,,,0-1,0.16129032258064516,149.0,185.2,73.4,75.6,8.0375,49.35931899641577,10,NA,37%,18%,3%,0.37,0.176,0.033666666666666664,2751.0868590146342
